sample_id,plot_id,site,treatment,collection_date,ph,moisture_pct,nitrogen_mgkg,phosphorus_mgkg,potassium_mgkg,temp_c,rainfall_mm,insect_count,is_irrigated,qc_status,sensor_status,microbial_index,yield_g,notes
S0198,P39,central,lime,2024-08-30,5.94,17.6,29.4,5.23,62.53,6.93,12.14,7,true,pass,maintenance,1.24,250.65,sensor drift
S0199,P40,east,organic,2024-09-08,6.63,19.2,13.33,16.47,110.07,23.85,8.79,5,false,pass,ok,0.984,282.48,edge plot
S0200,P01,west,lime,2024-07-10,6.89,15.36,24.55,8.22,99.84,9.26,15.33,0,true,pass,ok,1.298,230.37,edge plot
S0201,P02,north,organic,2024-12-26,5.84,20.6,39.58,8.77,119.59,22.35,8.35,21,true,warn,ok,1.282,302.25,sensor drift
S0202,P03,north,organic,2024-01-15,6.06,27.05,41.9,23.7,87.24,21.54,5.92,6,true,pass,ok,1.504,319.96,recheck moisture
S0203,P04,south,lime,2024-01-05,6.17,9.63,12.95,8.54,52.47,12.61,17.28,2,true,pass,ok,0.853,212.21,late sampling
S0204,P05,north,control,2024-09-18,6.8,26.42,21.8,5.03,70.9,12.78,5.24,3,true,pass,ok,1.139,284.0,
S0205,P06,east,npk,2024-03-17,6.22,18.09,47.73,26.55,84.37,15.7,6.61,15,true,pass,ok,1.412,324.26,
S0206,P07,north,lime,2024-12-28,7.09,19.66,18.29,8.61,53.31,21.32,0.0,14,true,pass,ok,1.025,221.75,sensor drift
S0207,P08,north,drought,2024-03-06,6.29,10.11,14.89,18.27,57.24,27.59,5.6,7,true,warn,ok,1.383,167.72,late sampling
S0208,P09,east,drought,2024-03-01,5.96,14.98,17.12,11.44,77.63,27.35,0.0,11,true,pass,ok,1.283,183.17,recheck moisture
S0209,P10,east,drought,2024-10-18,6.47,13.49,24.63,11.64,71.36,7.94,0.0,32,true,pass,ok,1.309,228.78,late sampling
S0210,P11,south,drought,2024-02-15,5.56,6.64,28.43,5.89,88.84,6.11,0.0,9,false,warn,ok,1.153,191.09,baseline
S0211,P12,south,npk,2024-12-21,6.65,17.2,48.44,18.58,109.68,7.57,22.01,17,true,pass,ok,0.852,344.88,recheck moisture
S0212,P13,east,drought,2024-07-02,6.3,16.0,40.0,10.3,76.73,11.38,12.11,11,true,pass,ok,1.093,193.84,edge plot
S0213,P14,east,lime,2024-11-15,5.96,24.62,24.61,9.55,77.05,22.55,2.92,15,true,pass,ok,1.081,234.87,sensor drift
S0214,P15,west,control,2024-12-05,6.22,12.99,16.34,2.53,98.8,18.28,4.39,7,false,pass,ok,1.282,192.81,recheck moisture
S0215,P16,east,drought,2024-05-31,5.59,4.0,19.77,8.27,60.93,11.63,10.58,12,true,pass,ok,1.613,165.1,baseline
S0216,P17,north,organic,2024-11-25,5.88,27.76,32.52,14.21,96.84,10.19,12.82,13,false,pass,ok,1.848,327.54,baseline
S0217,P18,north,npk,2024-12-05,6.38,13.47,59.94,25.04,106.04,23.59,4.17,17,true,pass,ok,1.396,319.52,edge plot
S0218,P19,west,npk,2024-02-27,5.76,16.12,22.64,23.05,103.01,27.87,0.26,13,true,pass,ok,0.819,272.62,
S0219,P20,south,drought,2024-09-06,5.54,9.83,26.3,9.75,95.59,22.91,3.52,0,false,pass,maintenance,1.09,180.19,late sampling
S0220,P21,central,control,2024-08-09,6.39,18.04,32.37,8.24,64.12,26.14,0.0,3,true,pass,ok,1.484,229.18,recheck moisture
S0221,P22,north,drought,2024-06-13,5.69,12.42,24.52,10.98,105.47,15.68,8.63,20,false,pass,ok,1.081,199.64,edge plot
S0222,P23,north,control,2024-07-25,6.09,17.92,24.95,14.58,93.25,20.86,5.6,20,true,pass,maintenance,1.145,251.74,recheck moisture
S0223,P24,west,organic,2024-10-13,6.52,18.22,25.54,13.13,109.96,8.34,7.78,11,true,pass,ok,1.269,278.41,baseline
S0224,P25,north,npk,2024-09-09,5.77,16.51,32.48,26.3,125.4,10.5,13.43,8,true,pass,ok,1.402,321.86,
S0225,P26,central,control,2024-08-18,6.15,13.49,19.96,10.36,79.62,23.67,1.96,9,false,warn,ok,1.524,217.45,recheck moisture
S0226,P27,south,control,2024-07-17,6.39,14.88,20.64,13.06,67.29,20.62,6.4,6,true,pass,ok,1.246,226.44,late sampling
S0227,P28,central,organic,2024-12-25,6.26,21.13,45.03,13.36,90.84,11.03,5.97,0,false,pass,ok,1.655,314.33,late sampling
S0228,P29,east,control,2024-06-29,6.27,8.66,15.49,8.51,53.88,27.45,0.0,8,true,pass,ok,1.14,221.32,baseline
S0229,P30,south,organic,2024-03-23,6.78,22.97,28.89,22.48,106.98,10.9,2.53,10,true,pass,ok,1.335,291.93,
S0230,P31,central,drought,2024-05-01,6.01,13.01,13.18,9.56,74.77,15.16,0.0,19,false,warn,ok,1.193,169.75,edge plot
S0231,P32,south,organic,2024-10-28,6.26,17.8,24.63,19.26,91.66,10.26,6.41,7,true,pass,ok,1.213,291.49,recheck moisture
S0232,P33,south,lime,2024-05-10,5.91,7.64,28.96,18.9,90.27,20.33,9.25,0,false,pass,ok,1.108,232.13,
S0233,P34,east,lime,2024-04-22,7.05,10.16,23.19,12.7,98.97,15.68,0.73,25,false,pass,ok,1.53,223.08,edge plot
S0234,P35,central,control,2024-02-28,6.4,8.81,30.8,5.79,63.57,29.01,5.83,5,false,warn,ok,1.003,235.31,late sampling
S0235,P36,east,lime,2024-09-17,6.43,27.26,29.65,11.7,100.22,28.76,15.45,29,true,pass,ok,0.993,243.36,
S0236,P37,west,control,2024-04-15,6.25,14.4,4.08,10.91,54.36,28.55,7.93,7,true,pass,ok,1.619,222.34,late sampling
S0237,P38,north,lime,2024-04-26,6.99,13.88,29.8,7.12,88.87,15.35,8.48,12,false,pass,ok,1.666,256.56,sensor drift
S0238,P39,central,control,2024-05-28,6.54,17.39,28.23,10.41,60.77,15.48,4.38,4,true,pass,ok,1.292,229.21,
S0239,P40,south,organic,2024-12-12,6.66,32.83,29.53,9.99,58.76,6.27,10.34,8,true,pass,ok,1.399,313.2,recheck moisture
S0240,P01,east,npk,2024-07-30,6.69,19.48,41.44,24.23,132.82,12.07,14.72,19,false,pass,ok,1.515,326.66,
S0241,P02,central,control,2024-05-28,6.41,17.99,30.31,1.39,58.52,14.57,5.92,6,true,pass,ok,0.978,256.24,
S0242,P03,east,lime,2024-03-19,6.58,15.41,30.25,9.65,80.77,11.91,9.75,24,true,pass,ok,1.145,213.39,edge plot
S0243,P04,west,organic,2024-06-05,6.18,29.02,40.28,18.83,102.2,25.83,11.08,8,false,pass,ok,1.879,301.65,
S0244,P05,north,lime,2024-10-23,6.39,9.73,15.67,5.25,72.82,29.97,0.0,14,true,pass,ok,1.178,204.61,edge plot
S0245,P06,central,lime,2024-02-16,6.38,11.37,24.84,14.19,53.36,20.74,11.64,20,true,pass,maintenance,0.847,195.51,
S0246,P07,west,organic,2024-01-21,5.86,22.38,33.22,15.19,98.89,10.96,12.75,7,true,pass,ok,1.72,299.85,
S0247,P08,central,organic,2024-05-14,6.29,20.04,29.68,12.15,111.56,27.56,12.03,14,false,pass,ok,1.594,277.52,edge plot
S0248,P09,central,control,2024-09-13,6.66,14.98,27.13,6.77,78.67,9.61,12.48,21,false,pass,ok,1.141,252.68,
S0249,P10,west,drought,2024-04-17,6.11,8.21,18.43,10.08,89.41,20.22,12.77,19,false,pass,ok,1.466,170.42,edge plot
S0250,P11,central,lime,2024-11-22,5.92,16.74,13.44,9.65,87.45,16.78,20.05,11,true,pass,ok,1.328,196.89,recheck moisture
S0251,P12,central,lime,2024-05-15,6.1,13.99,8.37,8.76,76.12,15.08,8.74,13,true,warn,ok,1.358,195.13,recheck moisture
S0252,P13,west,lime,2024-11-03,5.95,19.12,15.75,13.39,93.9,9.13,0.0,2,false,pass,ok,0.962,234.08,baseline
S0253,P14,central,drought,2024-04-27,6.53,4.0,26.53,5.73,106.25,27.79,12.09,3,true,pass,ok,1.288,180.31,late sampling
S0254,P15,central,drought,2024-05-11,5.63,8.98,11.34,8.23,75.76,6.17,2.83,1,true,pass,ok,1.089,160.82,late sampling
S0255,P16,west,lime,2024-07-06,6.63,22.52,24.59,11.45,101.86,19.38,11.33,21,true,fail,ok,1.238,237.03,recheck moisture
S0256,P17,north,npk,2024-08-16,6.54,19.96,43.85,14.98,108.34,25.22,1.13,4,true,pass,ok,1.356,300.74,edge plot
S0257,P18,central,drought,2024-02-15,5.48,11.32,28.22,13.83,84.17,29.63,2.51,5,false,pass,maintenance,1.353,176.61,edge plot
S0258,P19,north,npk,2024-12-02,6.72,15.06,44.4,23.01,88.97,22.76,1.27,4,true,pass,maintenance,1.372,331.77,edge plot
S0259,P20,east,drought,2024-07-26,6.1,4.0,23.55,11.58,83.27,12.83,14.4,0,true,warn,ok,1.071,172.83,edge plot
S0260,P21,central,control,2024-05-13,5.81,12.25,24.6,6.35,79.67,8.81,3.38,11,true,pass,ok,0.972,242.65,edge plot
S0261,P22,south,organic,2024-08-22,6.42,31.13,23.36,12.93,96.57,15.18,9.02,6,false,pass,ok,1.313,321.52,
S0262,P23,east,npk,2024-05-27,5.71,14.15,31.83,30.22,129.16,17.44,0.3,25,true,warn,ok,1.448,293.68,recheck moisture
S0263,P24,south,npk,2024-05-15,5.85,19.0,50.8,20.29,102.89,8.56,15.9,6,false,pass,ok,1.129,338.96,edge plot
S0264,P25,east,lime,2024-06-10,6.49,27.55,23.43,13.16,64.64,29.63,12.2,8,true,pass,ok,1.287,242.83,late sampling
S0265,P26,north,lime,2024-06-26,6.37,16.91,20.43,16.12,75.9,17.04,7.66,10,true,pass,ok,1.053,229.96,late sampling
S0266,P27,east,npk,2024-05-17,6.17,14.74,40.02,19.25,110.1,22.82,0.0,23,true,pass,ok,1.04,311.61,baseline
S0267,P28,east,npk,2024-10-11,6.12,16.15,48.06,24.2,107.4,25.34,11.14,20,false,pass,ok,1.119,300.32,sensor drift
S0268,P29,east,lime,2024-10-17,5.96,20.18,27.78,10.66,93.47,26.14,16.15,19,true,pass,ok,1.285,239.84,edge plot
S0269,P30,north,organic,2024-12-13,6.76,25.86,42.94,14.53,86.02,24.73,2.5,21,true,pass,ok,1.349,331.72,
S0270,P31,south,npk,2024-11-23,6.57,14.68,54.64,15.0,94.78,7.71,10.27,16,true,pass,ok,1.078,326.63,edge plot
S0271,P32,east,lime,2024-09-23,7.06,15.54,27.62,16.38,84.2,21.89,16.67,7,true,pass,ok,1.673,261.07,late sampling
S0272,P33,north,control,2024-07-22,6.23,20.11,24.91,8.76,74.89,28.36,4.67,15,false,pass,ok,1.049,249.23,baseline
S0273,P34,east,organic,2024-08-31,6.16,31.24,19.44,13.94,92.09,28.76,0.22,9,true,pass,ok,1.172,308.67,late sampling
S0274,P35,east,organic,2024-09-03,6.25,25.64,24.87,13.94,105.43,13.29,19.03,12,false,pass,ok,2.064,298.09,edge plot
S0275,P36,east,control,2024-08-08,6.56,11.41,16.82,7.53,76.53,27.17,3.8,14,false,pass,ok,1.219,231.27,
S0276,P37,south,lime,2024-11-09,6.87,16.53,19.0,9.68,47.29,15.91,10.31,7,true,pass,ok,1.152,261.25,recheck moisture
S0277,P38,east,control,2024-03-18,5.66,15.18,23.88,12.54,88.54,23.16,7.37,6,true,pass,ok,1.031,270.64,sensor drift
S0278,P39,west,control,2024-06-18,5.7,18.01,20.5,9.59,97.87,19.04,13.32,27,true,pass,ok,1.591,236.59,edge plot
S0279,P40,west,npk,2024-01-18,5.84,17.82,41.46,20.62,99.37,15.34,21.66,7,true,pass,ok,1.079,322.3,edge plot
S0280,P01,east,npk,2024-07-03,6.67,20.07,40.76,26.3,126.6,13.79,10.39,17,true,pass,ok,1.622,336.4,edge plot
S0281,P02,central,npk,2024-07-09,6.52,18.04,54.42,20.58,94.95,29.27,8.13,9,true,pass,ok,1.426,356.67,sensor drift
S0282,P03,central,organic,2024-08-12,6.48,28.34,34.04,15.51,81.5,6.95,5.93,2,true,pass,ok,1.287,309.36,edge plot
S0283,P04,east,lime,2024-10-10,6.09,13.18,23.3,12.11,59.62,16.9,9.16,2,false,warn,ok,0.971,255.23,sensor drift
S0284,P05,north,lime,2024-07-17,6.13,14.88,12.55,11.85,92.1,15.84,6.82,15,false,pass,maintenance,1.227,228.44,baseline
S0285,P06,west,npk,2024-02-20,5.64,15.19,38.83,16.42,111.6,20.17,12.04,13,false,pass,maintenance,0.88,282.41,baseline
S0286,P07,west,control,2024-07-03,6.27,22.32,21.86,5.73,100.71,25.77,7.83,14,true,pass,maintenance,1.31,248.79,
S0287,P08,south,lime,2024-07-16,6.13,14.64,24.01,8.23,71.99,23.98,5.56,13,false,pass,ok,0.937,207.85,recheck moisture
S0288,P09,south,lime,2024-07-24,6.51,14.95,16.74,2.46,55.38,27.66,0.0,3,false,pass,ok,1.302,216.22,recheck moisture
S0289,P10,central,lime,2024-04-19,6.35,10.93,20.9,7.2,95.22,29.04,9.59,12,true,pass,ok,1.222,227.62,recheck moisture
S0290,P11,south,organic,2024-01-12,6.53,31.84,27.82,20.18,84.52,19.7,5.6,10,true,pass,ok,1.646,302.54,sensor drift
S0291,P12,east,control,2024-10-19,6.08,24.37,18.57,8.83,48.5,10.15,12.2,1,false,warn,ok,1.074,277.58,late sampling
S0292,P13,west,control,2024-01-29,6.71,13.32,39.21,1.54,96.66,8.89,9.27,0,false,warn,ok,1.144,254.44,late sampling
S0293,P14,north,organic,2024-10-03,6.28,20.77,43.96,19.42,117.11,29.94,17.87,9,false,pass,ok,1.532,304.01,sensor drift
S0294,P15,north,drought,2024-10-19,6.29,7.65,23.14,6.57,91.44,22.75,8.52,2,true,pass,ok,0.408,163.11,late sampling
S0295,P16,south,npk,2024-02-06,5.92,11.81,50.17,20.26,105.96,15.93,5.42,15,true,pass,ok,1.313,341.09,edge plot
S0296,P17,central,npk,2024-08-13,5.65,19.25,40.14,17.27,131.59,26.47,9.53,13,false,warn,ok,1.218,323.14,
S0297,P18,north,organic,2024-08-18,6.17,20.37,44.43,17.19,116.99,24.01,0.01,8,false,pass,ok,1.112,341.27,late sampling
S0298,P19,north,organic,2024-03-28,5.67,26.12,44.77,15.4,114.95,28.68,16.06,16,false,warn,ok,1.662,334.08,
S0299,P20,west,npk,2024-07-13,6.21,15.56,28.24,16.63,112.34,8.11,12.94,31,false,pass,ok,1.388,295.34,edge plot
S0300,P21,west,npk,2024-01-10,6.02,14.23,53.99,22.96,159.62,18.03,11.19,1,false,warn,ok,1.513,340.42,sensor drift
S0301,P22,south,npk,2024-06-23,6.68,16.94,42.14,14.49,140.87,20.7,4.96,7,true,pass,maintenance,1.388,315.85,late sampling
S0302,P23,south,npk,2024-11-30,5.77,10.2,41.31,24.23,98.24,22.92,4.8,11,false,fail,ok,1.709,294.79,sensor drift
S0303,P24,north,lime,2024-09-29,7.04,20.89,29.74,14.69,60.09,24.37,12.53,6,true,pass,maintenance,1.658,233.39,sensor drift
S0304,P25,south,npk,2024-02-24,5.76,30.97,48.83,17.95,93.54,20.7,4.43,8,true,pass,ok,1.522,385.1,edge plot
S0305,P26,east,npk,2024-07-17,6.19,19.92,48.99,28.66,116.16,6.36,7.23,20,false,fail,ok,1.723,356.07,edge plot
S0306,P27,central,drought,2024-12-18,5.79,7.73,26.59,9.03,82.96,23.65,4.2,16,false,pass,ok,0.696,185.34,baseline
S0307,P28,central,control,2024-08-19,6.15,24.64,13.6,10.13,102.36,29.61,13.76,13,false,warn,ok,0.718,257.25,sensor drift
S0308,P29,west,npk,2024-08-04,5.95,24.01,39.04,25.67,98.57,21.51,13.96,17,true,pass,ok,0.961,327.7,sensor drift
S0309,P30,west,control,2024-04-01,6.14,25.62,14.71,11.29,74.73,13.78,2.37,1,true,pass,ok,1.104,222.15,baseline
S0310,P31,central,drought,2024-09-18,6.13,14.05,33.54,12.36,83.0,14.04,16.26,0,true,pass,ok,1.403,217.14,
S0311,P32,west,organic,2024-11-16,5.82,33.19,20.9,22.81,95.68,6.29,0.95,12,false,pass,ok,1.576,329.85,edge plot
S0312,P33,west,drought,2024-02-10,6.12,20.3,25.68,9.01,104.94,25.68,9.01,16,true,pass,ok,1.522,217.28,late sampling
S0313,P34,east,organic,2024-02-14,5.66,21.56,35.5,13.42,73.17,22.6,0.0,4,true,pass,ok,1.6,300.19,sensor drift
S0314,P35,east,organic,2024-07-13,6.58,24.46,17.62,20.14,103.06,8.93,11.4,6,true,pass,ok,1.804,292.07,
S0315,P36,central,control,2024-09-04,6.47,11.73,16.38,8.87,61.7,26.35,7.52,22,false,warn,ok,0.796,224.7,edge plot
S0316,P37,west,npk,2024-11-08,5.88,17.26,50.08,25.3,123.61,25.12,7.68,6,false,pass,ok,0.935,362.6,recheck moisture
S0317,P38,north,npk,2024-12-19,5.94,18.96,38.36,18.46,109.33,6.15,5.85,5,false,pass,ok,1.301,337.23,sensor drift
S0318,P39,west,drought,2024-01-19,6.17,4.72,26.3,13.87,65.99,14.04,9.31,3,false,pass,ok,1.166,169.84,late sampling
S0319,P40,north,npk,2024-10-22,6.42,20.88,29.06,15.59,147.85,12.73,24.88,16,false,pass,ok,0.942,328.75,sensor drift
S0320,P01,east,control,2024-05-19,6.1,14.69,25.11,1.0,93.14,11.19,7.05,15,false,pass,ok,1.147,243.0,edge plot
S0321,P02,central,npk,2024-04-07,6.01,8.89,46.69,20.68,124.89,24.47,21.89,25,true,fail,ok,1.441,320.43,late sampling
S0322,P03,north,control,2024-06-08,6.72,15.67,15.08,13.83,90.5,7.11,0.0,10,true,pass,ok,1.371,219.39,recheck moisture
S0323,P04,east,organic,2024-09-29,5.98,21.9,34.45,17.89,106.61,6.37,2.84,5,true,pass,ok,1.746,324.48,sensor drift
S0324,P05,central,npk,2024-03-28,5.69,14.9,40.25,20.02,113.29,17.3,6.72,8,true,pass,ok,0.924,304.47,
S0325,P06,west,lime,2024-07-01,6.27,20.92,13.48,7.64,60.46,29.37,8.24,3,true,pass,ok,0.93,240.46,
S0326,P07,west,drought,2024-04-28,6.54,16.92,38.36,9.81,97.09,10.4,12.66,8,false,pass,ok,1.312,227.68,edge plot
S0327,P08,west,npk,2024-05-24,6.52,16.14,42.45,27.89,130.01,25.12,4.01,22,false,pass,ok,0.902,336.45,late sampling
S0328,P09,south,drought,2024-07-15,5.48,12.8,36.89,1.0,101.14,19.61,2.94,22,true,pass,ok,1.087,181.39,baseline
S0329,P10,central,lime,2024-08-25,6.29,21.99,30.0,8.54,97.16,20.36,4.81,2,false,pass,ok,1.362,266.33,recheck moisture
S0330,P11,central,control,2024-03-16,6.39,14.43,26.93,6.74,66.99,10.94,11.64,7,false,pass,ok,1.567,232.58,sensor drift
S0331,P12,north,lime,2024-01-05,6.63,9.29,23.98,10.86,74.83,27.63,8.24,11,false,fail,ok,1.187,234.73,edge plot
S0332,P13,central,drought,2024-11-16,5.78,7.73,30.27,4.34,72.58,17.4,10.24,19,false,pass,ok,1.572,195.86,recheck moisture
S0333,P14,north,control,2024-11-27,5.62,17.07,15.91,1.0,101.2,8.03,4.1,5,true,pass,ok,1.059,238.1,late sampling
S0334,P15,west,lime,2024-08-18,6.36,18.72,33.32,14.69,80.99,23.54,6.88,5,false,pass,ok,1.479,265.22,sensor drift
S0335,P16,north,lime,2024-09-03,7.05,24.38,31.24,2.19,74.11,24.01,6.67,21,true,pass,ok,0.948,248.17,
S0336,P17,north,lime,2024-10-23,6.27,21.9,27.39,10.8,60.08,18.3,0.0,14,true,warn,ok,1.184,262.45,late sampling
S0337,P18,east,lime,2024-05-13,5.97,15.3,25.82,21.55,97.48,25.41,4.5,7,true,pass,ok,1.177,253.14,sensor drift
S0338,P19,east,organic,2024-01-08,6.49,16.15,22.34,15.59,68.65,14.87,12.73,24,true,pass,ok,2.204,286.04,recheck moisture
S0339,P20,central,npk,2024-09-10,6.5,14.22,49.09,18.57,85.48,10.01,0.0,4,true,pass,ok,1.464,335.84,edge plot
S0340,P21,east,drought,2024-09-29,5.68,9.18,17.73,9.61,102.06,16.43,5.41,25,true,pass,ok,1.309,179.12,late sampling
S0341,P22,east,drought,2024-11-08,6.5,13.56,19.39,9.81,88.14,21.7,0.0,20,false,pass,ok,1.277,206.92,
S0342,P23,south,organic,2024-10-07,5.61,25.69,33.16,11.86,106.63,22.45,2.26,22,true,pass,ok,1.815,316.12,recheck moisture
S0343,P24,central,control,2024-12-28,6.75,23.25,30.63,5.17,101.49,21.55,9.26,7,true,pass,ok,1.147,258.69,edge plot
S0344,P25,east,drought,2024-12-20,6.48,11.5,17.98,10.82,86.01,24.65,4.0,16,true,warn,ok,0.929,193.51,recheck moisture
S0345,P26,central,drought,2024-04-01,6.17,15.36,31.28,4.99,90.4,8.55,3.66,14,true,pass,ok,1.208,207.99,edge plot
S0346,P27,south,control,2024-01-20,6.4,17.28,37.35,14.32,66.72,18.37,14.48,8,true,pass,ok,1.269,241.51,baseline
S0347,P28,west,drought,2024-03-03,6.08,14.89,22.01,8.32,63.43,21.17,10.53,11,true,warn,ok,0.787,205.32,
S0348,P29,south,npk,2024-10-10,5.65,15.81,48.47,19.16,73.86,21.13,6.4,14,false,pass,ok,1.34,358.21,late sampling
S0349,P30,south,drought,2024-07-18,5.48,7.27,23.27,2.59,72.78,16.78,9.65,11,true,pass,ok,1.534,207.75,
S0350,P31,central,drought,2024-12-13,6.44,4.0,22.01,10.17,86.92,23.65,6.83,12,false,pass,ok,1.175,175.55,
S0351,P32,north,organic,2024-02-19,6.15,26.88,42.4,16.78,87.23,17.93,9.29,6,false,pass,ok,1.874,319.72,sensor drift
S0352,P33,north,lime,2024-10-06,6.06,22.13,12.84,10.48,55.96,14.05,10.4,15,true,pass,ok,0.672,253.24,baseline
S0353,P34,south,control,2024-11-19,6.33,18.14,23.6,9.55,80.17,10.31,15.38,18,false,pass,ok,1.254,218.33,recheck moisture
S0354,P35,south,organic,2024-09-24,6.14,24.19,37.94,14.07,72.37,23.21,6.04,9,false,pass,ok,1.347,307.49,late sampling
S0355,P36,north,lime,2024-07-04,6.94,23.34,24.21,4.53,85.63,10.99,10.77,13,true,pass,ok,1.053,256.07,baseline
S0356,P37,north,organic,2024-05-25,5.85,23.95,44.08,19.39,82.4,8.51,15.05,15,true,pass,ok,1.665,325.5,edge plot
S0357,P38,central,lime,2024-06-15,6.4,17.82,7.9,10.24,88.63,11.47,8.5,20,true,warn,ok,1.128,220.07,edge plot
S0358,P39,south,npk,2024-11-08,6.15,16.15,47.82,20.93,85.0,29.41,8.93,15,false,pass,ok,1.365,315.01,recheck moisture
S0359,P40,east,npk,2024-05-31,6.32,19.58,33.95,20.13,102.92,29.28,9.56,9,false,pass,error,0.801,299.12,sensor drift
S0360,P01,north,drought,2024-05-06,5.7,8.08,27.28,18.69,60.85,27.93,13.01,7,true,fail,ok,0.937,192.23,edge plot
S0361,P02,west,control,2024-08-19,6.19,24.52,31.67,8.57,62.77,11.23,5.21,16,false,pass,ok,1.346,285.45,late sampling
S0362,P03,central,control,2024-08-20,6.16,22.52,34.54,13.22,113.46,21.04,7.91,11,false,pass,ok,0.994,265.98,sensor drift
S0363,P04,central,lime,2024-10-21,6.85,18.43,21.8,14.78,60.01,7.32,16.47,7,false,pass,ok,1.025,232.01,recheck moisture
S0364,P05,central,control,2024-10-14,6.45,21.56,46.65,10.14,88.82,17.48,15.33,8,false,pass,ok,1.236,300.71,sensor drift
S0365,P06,central,drought,2024-05-21,5.47,7.56,31.29,2.48,79.69,17.28,0.0,9,false,pass,ok,1.022,172.89,baseline
S0366,P07,south,drought,2024-02-14,5.5,13.97,21.05,11.85,77.67,12.62,5.71,3,false,pass,ok,1.023,240.45,late sampling
S0367,P08,south,drought,2024-06-26,5.9,10.93,23.34,10.32,83.52,25.25,11.7,3,true,pass,ok,1.266,172.13,
S0368,P09,central,lime,2024-08-15,6.45,9.23,17.99,7.55,109.79,11.44,4.57,16,false,pass,ok,1.534,215.01,recheck moisture
S0369,P10,central,organic,2024-04-03,6.77,27.68,22.59,14.84,86.01,11.71,13.06,13,true,pass,ok,1.439,294.62,sensor drift
S0370,P11,east,npk,2024-07-09,6.14,23.49,43.48,22.65,112.8,28.35,9.69,0,false,pass,maintenance,0.915,332.03,
S0371,P12,east,drought,2024-05-28,6.56,11.38,3.0,6.42,52.03,23.49,12.82,8,true,pass,ok,1.146,156.61,baseline
S0372,P13,west,lime,2024-04-22,6.44,19.27,26.48,6.66,61.52,11.33,12.45,9,true,pass,ok,1.149,244.98,late sampling
S0373,P14,west,npk,2024-09-08,5.98,9.48,33.24,25.18,100.73,9.55,11.5,5,true,pass,ok,1.704,293.44,baseline
S0374,P15,south,drought,2024-07-31,6.36,9.04,39.06,14.13,76.5,27.51,13.1,20,true,pass,ok,1.694,171.85,baseline
S0375,P16,central,drought,2024-02-15,5.41,8.69,20.1,12.03,97.85,19.63,11.44,9,false,pass,ok,1.294,170.09,late sampling
S0376,P17,east,drought,2024-10-13,6.29,12.27,38.98,11.92,92.53,21.37,5.98,8,false,pass,ok,1.5,202.34,baseline
S0377,P18,north,organic,2024-09-09,6.79,30.8,38.39,11.49,83.67,26.84,3.27,5,false,pass,ok,1.07,308.35,recheck moisture
S0378,P19,central,control,2024-03-15,5.98,19.75,22.01,11.65,92.28,16.07,12.79,8,true,pass,maintenance,0.775,243.69,recheck moisture
S0379,P20,north,lime,2024-03-26,6.55,23.86,14.24,8.65,66.02,22.45,6.98,8,false,pass,ok,0.96,240.9,edge plot
S0380,P21,west,organic,2024-03-24,5.72,25.8,37.67,19.22,130.55,20.72,11.59,3,true,pass,ok,1.71,327.3,baseline
S0381,P22,north,npk,2024-01-09,6.18,16.39,52.03,25.43,75.51,20.34,8.47,4,false,pass,ok,1.285,372.3,recheck moisture
S0382,P23,south,organic,2024-03-05,5.85,28.7,32.0,16.16,86.27,6.45,1.66,12,true,pass,ok,1.266,300.27,sensor drift
S0383,P24,north,control,2024-06-03,6.4,18.22,11.03,12.38,74.13,27.63,10.22,18,true,pass,maintenance,1.419,222.97,recheck moisture
S0384,P25,central,lime,2024-05-03,6.51,25.57,31.16,10.41,57.99,23.18,11.59,10,false,pass,ok,1.7,251.09,
S0385,P26,west,organic,2024-12-23,6.31,13.48,40.45,17.58,110.29,15.11,8.96,17,true,fail,ok,1.604,302.11,sensor drift
S0386,P27,east,lime,2024-01-21,6.0,13.57,25.31,3.71,87.85,22.49,10.33,7,true,fail,ok,1.53,209.94,edge plot
S0387,P28,east,npk,2024-01-07,6.8,15.88,45.2,16.57,120.01,8.04,11.77,18,false,pass,maintenance,1.291,325.95,recheck moisture
S0388,P29,east,npk,2024-10-31,6.61,15.3,48.3,17.81,119.64,24.36,8.81,1,false,pass,maintenance,0.971,351.13,edge plot
S0389,P30,west,lime,2024-05-22,6.08,15.8,26.15,7.11,80.87,28.62,17.65,14,false,pass,ok,1.347,267.18,sensor drift
S0390,P31,south,organic,2024-11-14,6.35,24.42,21.26,11.38,92.38,17.18,6.1,21,true,pass,ok,1.454,287.86,baseline
S0391,P32,west,control,2024-07-15,6.14,20.93,18.1,12.43,82.52,21.83,10.29,0,true,pass,ok,0.874,262.65,late sampling
S0392,P33,west,lime,2024-12-16,6.55,12.32,26.94,10.75,85.07,12.32,3.09,7,false,pass,ok,1.509,248.95,recheck moisture
S0393,P34,east,organic,2024-10-25,5.63,27.19,28.39,19.01,104.51,14.58,2.75,21,true,pass,ok,1.578,300.15,sensor drift
S0394,P35,north,organic,2024-03-27,5.62,21.7,40.9,19.39,77.35,27.63,7.03,24,false,fail,ok,1.248,326.24,edge plot
S0395,P36,north,npk,2024-06-21,6.2,20.51,34.0,23.69,123.15,29.27,10.54,22,false,pass,ok,1.244,333.29,sensor drift
S0396,P37,central,drought,2024-04-25,6.15,17.91,21.68,5.28,68.63,12.56,1.25,8,true,pass,ok,1.332,183.5,sensor drift
